chromosome	start	end	entrezid
HG186_PATCH	51422478	51426828	7873
20	44179792	44207965	90199
15	63334831	63364114	7168
HG186_PATCH	51428699	51435339	29890
20	44236578	44259907	259240
21	19161284	19191703	54149
15	41576188	41601901	729082
HG243_PATCH	145202919	145316830	727957
18	32870246	32890730	10778
15	91073157	91188577	64784
HG243_PATCH	145317005	145346273	23246
15	41099284	41106767	84936
20	54967427	54979518	1477
21	19273580	19639690	140578
HG186_PATCH	51433298	51537425	9730
HG243_PATCH	145321463	145323384	642658
18	36786888	37380282	647946
20	44258165	44259835	140832
15	22892005	23006016	23191
20	44277202	44298909	259239
13	53063128	53161222	220115
20	44313292	44333658	280664
18	39047395	39212149	641516
21	19641433	19858197	5651
20	44330655	44337456	164237
20	44350990	44354469	391253
HG243_PATCH	145346494	145369625	3297
HG186_PATCH	51579011	51701025	23132
20	2639041	2644865	3420
18	44497455	44627658	83473
20	44376583	44420571	140686
20	54987168	55034396	57091
21	22370633	22915650	4685
21	29911640	29912677	118421
15	41107650	41120907	54866
HG243_PATCH	145371194	145381813	8694
15	49619159	49913128	196951
21	30565801	30660526	193629
18	13824154	13826861	4161
18	13882043	13915706	4158
15	63413999	63434260	114294
20	61141550	61148733	253868
9	34568013	34582827	415056
21	30723955	30734215	571
15	91260558	91358859	641
21	26957968	26979829	54148
9	34832292	34838583	389715
HG243_PATCH	145387965	145391184	83482
20	61294371	61298076	100127888
18	14057456	14132489	162655
20	57570240	57582302	1522
HG243_PATCH	145407122	145410512	340393
20	55043647	55093943	51507
15	41136216	41150405	6692
15	80135889	80136646	10588
21	31120494	31136321	642976
20	61726845	61733671	768097
9	35406752	35483026	158381
20	61733483	61735738	768096
20	2673524	2740753	57593
20	57594309	57601709	81027
9	35657748	35658015	6023
15	49715293	49780972	2252
18	14507338	14543584	388468
20	44420576	44440066	116092
21	27011584	27089874	58494
9	35909480	35911683	158376
HG243_PATCH	145409038	145416175	79581
20	62665697	62671315	284739
20	57600522	57607437	514
15	63418071	63450220	51065
18	44554573	44556449	162699
13	70681345	70713561	6315
18	44558943	44561988	51224
9	116237	118417	2298
15	63481668	63559981	51762
20	44441215	44445596	11065
20	55066548	55100981	140687
20	57608200	57617964	51012
HG243_PATCH	145410334	145414279	26233
18	44633774	44676891	84064
21	27088815	27107984	522
9	125677845	125693779	57684
20	55092243	55101198	388799
20	55092243	55101198	200232
15	49913177	49937333	56986
20	2774715	2781283	56265
20	55108302	55111576	388799
15	44019116	44039292	440278
15	41164412	41166487	171177
13	75812080	75814432	647288
15	91411822	91426688	5045
15	23004684	23034427	81614
18	44661027	44702652	51124
HG243_PATCH	145428004	145448145	203054
9	38620471	38624987	158228
21	27106881	27144771	2551
20	55204358	55214339	7022
20	17943353	17943589	692086
20	57766075	57834168	128611
18	47017653	47017717	26791
20	44451853	44462384	7125
15	41186628	41196173	57617
15	63568217	63601325	83464
15	44168047	44168442	728758
9	125703112	125867145	23637
18	44681413	44702745	51124
18	47340503	47340646	677769
9	39443804	39464526	653501
9	94903580	94922396	158314
20	57875482	57901047	1908
15	41221538	41231237	54567
20	18548064	18550207	388789
18	14728271	14852737	374860
20	55743804	55841685	655
20	18768295	18774979	29075
20	2795633	2796479	128653
HG243_PATCH	145448132	145464191	29894
20	18775173	18776711	100270804
20	19222946	19265240	100130264
9	125796806	125797975	2844
9	121041	188979	644019
9	121041	188979	445571
9	121041	188979	220869
9	121041	188979	150472
9	121041	188979	55871
9	95054743	95054875	100124534
9	40715662	40722679	728495
21	33749496	33749631	677846
20	2815960	2821836	64773
18	45357922	45457515	4087
9	41961615	42019580	654466
15	50150435	50475014	79895
9	125871779	126030855	55342
9	95571670	95650975	138649
HG243_PATCH	145464645	145471798	55630
15	91426925	91439006	2242
15	23043277	23100005	123606
20	55904815	55919050	23626
15	63613577	63674360	771
9	42466317	42474239	100133036
20	58152564	58422766	116154
9	213108	215893	157983
18	18526867	18691812	6093
9	42845768	42859085	100133920
15	41245160	41248710	79094
HG243_PATCH	145478520	145483451	51160
13	91543208	91578851	144776
9	43140537	43142739	642929
13	92000074	92006833	407975
20	44462449	44471914	90203
18	51748654	51748782	677819
HG243_PATCH	145483685	145499347	4796
9	126118449	126142603	286204
20	55926066	55954267	8480
20	22380989	22401281	284788
20	2821349	2847378	64601
20	22528309	22559280	140828
15	23255242	23268823	283796
HG858_PATCH	116765	228460	440073
21	27252861	27543446	351
20	44470360	44486045	10005
15	41271078	41408552	54617
20	23499783	23522655	164380
15	45803334	45878488	283651
15	50474393	50528592	11001
13	19747910	19755992	113457
13	19747910	19755992	7278
20	25121425	25129894	284798
20	55966463	55984389	55544
9	214854	465259	81704
9	126141933	126692431	57706
20	26035291	26073683	728882
20	26035291	26073683	284800
20	26084052	26094664	149934
18	18822203	19105378	80000
9	46687462	46746500	387628
21	27838528	27945603	116159
9	46843638	46846025	389741
20	58438618	58508710	10388
15	50534144	50558223	3067
13	19997017	20110903	93492
15	63796793	63886839	9960
9	65487273	65494248	401508
18	45553044	45937123	201501
21	28208066	28217728	9510
21	35552978	35562220	114036
20	30009239	30016983	245935
9	126763949	126795580	9355
20	30073581	30075377	140875
20	30135307	30135852	100101490
21	28290231	28338832	11096
20	30774280	30778330	128854
13	20207788	20247599	54737
HSCHR6_MHC_SSTO	31578395	31595492	7916
15	41474923	41522941	161829
20	31276723	31278816	578
21	36096105	36109478	54064
21	30244513	30257693	29104
20	31781391	31798268	317716
9	66553273	66555928	389741
15	91445448	91465814	4122
9	470291	746105	23189
9	98521513	98638259	100128782
13	20248896	20357142	55269
9	67017400	67032072	100133920
9	98782014	98790247	100188953
9	127019885	127115586	10783
15	83421636	83425960	677778
HSCHR6_MHC_MANN	29549656	29549739	692092
9	841690	969090	1761
15	50569389	50647605	2553
15	23810454	23873064	7681
18	46065417	46389588	9811
9	976964	991731	58524
13	20397622	20437776	9205
22	23915312	23922495	3543
21	30300466	30365270	26046
15	23888691	23891175	54551
15	23930565	23932450	4692
HSCHR6_MHC_MANN	29715614	29716034	340198
20	34108569	34117481	140873
20	44486256	44507761	140831
9	127115745	127177723	5695
15	24920541	24928593	23742
HG962_PATCH	70921453	70945369	440896
9	1050354	1057552	10655
HSCHR6_MHC_MANN	29755838	29757872	54435
20	44509866	44513905	90204
9	99837953	99844227	340508
20	56071035	56100708	140690
15	41523037	41574043	11261
HG325_PATCH	50355222	50360338	8692
HG989_PATCH	31882412	31907525	347735
HG962_PATCH	70970105	70972768	572558
20	44515128	44516274	128497
20	44517264	44519926	140825
15	84867600	84898888	388152
9	69080240	69147854	595135
18	56663966	56736570	390858
HG1063_PATCH	102594406	102614364	90355
HG989_PATCH	31991282	31997092	284551
HSCHR6_MHC_MANN	29884570	29885560	80868
15	41601466	41624819	11339
22	23950639	23974508	51233
HSCHR6_MHC_MANN	29938075	29941369	10255
21	30376705	30391699	10069
HSCHR19_1_CTG3_1	34663352	34720227	26065
9	127243516	127269709	2516
18	46446223	46477081	4092
20	58508819	58523735	63939
HSCHR6_MHC_SSTO	33219848	33236168	3116
20	2844830	3019722	5786
HG325_PATCH	50357459	50365683	11334
20	58511894	58515352	5509
HSCHR6_MHC_MCF	32969905	32980956	6046
HSCHR6_MHC_MANN	29969537	29972910	3137
15	25068794	25223870	8926
15	25068794	25223870	6638
20	34633544	34638882	647979
HG19_PATCH	1993155	2113475	9172
9	127279554	127533589	2649
9	70921444	70945542	440896
20	58533471	58609066	60437
22	24030323	24041363	266747
9	70970105	70972768	572558
20	44518783	44527459	5476
22	17517460	17541715	100130418
15	50647525	50659636	100129387
22	17640274	17646335	100130717
9	127539437	127577164	169611
21	30396950	30426809	10600
18	19109242	19180845	114799
HG748_PATCH	77085427	77512230	146713
13	20532810	20665968	7750
15	51236860	51238193	100132724
15	41624892	41673248	51203
15	63889552	63894627	283807
9	127615755	127620160	401551
20	37053843	37053979	26776
20	37055952	37056085	26777
20	37058313	37058446	677839
HG748_PATCH	77727001	77738304	339221
20	37062508	37062641	677840
9	2015342	2193624	6595
9	127620159	127624260	11224
HSCHR6_MHC_MCF	33005421	33010855	3111
HG325_PATCH	50367220	50378412	11186
15	85051116	85060045	374650
HG748_PATCH	77774214	77784065	84733
HSCHR6_MHC_SSTO	33436114	33436396	1616
9	127624409	127640003	81873
20	58630980	58648008	284756
HG748_PATCH	77788214	77797765	57332
21	38580804	38594037	257203
22	18512151	18520734	100192420
20	37075221	37079564	677821
20	37075221	37079564	128439
22	24083769	24093279	7621
9	100000779	100139569	57653
18	19192228	19210417	6632
22	24094930	24096655	29802
HSCHR6_MHC_MCF	33113649	33118417	3116
15	50716577	50793280	9101
20	59827482	60515673	1002
HG14_PATCH	57517884	57541253	441234
9	127640646	127710771	2800
22	24105208	24108048	150248
8	8993765	9009084	79660
HSCHR4_1_CTG12	156750881	156787425	51802
15	63900817	64126141	8925
18	19230858	19284766	171586
20	37842420	37853391	339568
HSCHR4_1_CTG12	156775890	156841558	6999
HSCHR6_MHC_MCF	33065822	33082016	3113
22	24108021	24110630	400916
15	85070012	85114447	388165
20	56136136	56141513	5105
13	20712394	20735188	2700
HSCHR4_1_CTG12	156845270	156875063	1519
18	46570039	46987717	54808
13	20761609	20767037	2706
21	39578250	39580738	259234
15	91473410	91497323	55898
X	71401203	71522776	5303
9	79379352	79402485	50652
22	24110413	24126503	4320
HSCHR6_MHC_MCF	33529672	33530001	3833
HG873_PATCH	14665269	14892350	5140
22	19005347	19007761	25787
13	20796110	20806534	10804
22	19010569	19011063	26222
9	127704887	127905785	286205
21	30428126	30446118	10694
15	25200133	25223729	8926
15	25200133	25223729	6638
8	9413424	9639856	8658
20	60528525	60640866	6874
9	2621834	2660053	7436
X	71424510	71458897	54821
13	20977806	21099996	51084
18	61747243	61816264	221241
15	64199235	64364232	23604
15	41679551	41694717	51103
HSCHR6_MHC_MCF	33077161	33088426	3115
22	24129150	24176703	6598
X	71475529	71497150	6191
18	47008028	47013622	497661
21	40110945	40119384	400866
HG873_PATCH	14899553	14913798	120227
15	85174682	85185695	54581
9	84528352	84534841	347127
20	3024268	3026393	2797
9	127908852	127952218	5537
15	41700606	41775761	23168
HSCHR6_MHC_SSTO	31596744	31610423	7917
18	19284918	19450918	57534
20	56178902	56195632	81030
22	19033675	19035888	25786
15	64364758	64386217	84191
22	24176690	24181315	91319
9	2717502	2730037	169522
18	47008051	47017956	6139
20	3026591	3028900	64949
20	3052266	3053163	5020
20	60697517	60710434	149986
22	39715055	39715118	26807
15	50792759	50838905	373509
20	3063202	3065370	551
9	127962821	127996437	10244
8	38120648	38126761	84513
HG271_PATCH	79483771	79497647	71
HG271_PATCH	79483771	79497647	60
X	48760459	48769235	7355
9	2720469	2844241	9933
15	57592563	57599959	283663
22	20193920	20196047	150197
13	21140585	21265503	8100
9	127997132	128003609	3309
21	30449792	30548210	56911
15	25200181	25245423	8926
20	56223448	56286592	56937
8	9911778	10286401	4482
22	42348169	42354937	339674
20	46988693	46999372	284749
13	21276266	21297237	53342
15	64386322	64438289	6642
22	24198890	24228496	66035
9	89623370	89657041	440173
15	50844670	50979012	54822
4	16162128	16229033	202018
HSCHR6_MHC_MANN	30272044	30305476	3139
13	21302870	21348097	221143
18	47014851	47018906	100124516
18	47014851	47018906	26791
18	47014851	47018906	6139
X	48770459	48776301	11040
20	47894715	47905797	441951
20	60711791	60718496	5688
9	90387368	90401799	392360
15	25582381	25684128	7337
HSCHR6_MHC_MANN	30303261	30339598	414777
8	86126311	86132650	401466
20	47895477	47895565	26765
20	47896856	47896946	100113393
21	30566392	31003071	571
20	47897220	47897309	692057
20	56725960	56736206	128602
9	3218297	3526004	5991
22	42896585	42908566	94009
20	44527399	44540794	5360
15	41785591	41795747	3706
13	21351469	21477187	64328
X	118722300	118739858	55922
22	42951229	42978044	91695
20	3088219	3140842	22888
X	48779305	48815648	55593
8	141541264	141645718	27161
8	145674965	145691060	50626
X	71521488	71527037	4435
22	24236191	24237414	4282
18	19749404	19782491	2627
20	3127165	3140543	60493
HSCHR6_MHC_MANN	31066942	31072606	285834
15	41795836	41806085	4058
22	24299601	24303373	2953
20	3143263	3154192	9762
18	19993564	19997878	64693
HSCHR6_MHC_MANN	31186478	31190647	100130889
21	42513427	42520060	284835
HSCHR6_MHC_MANN	31210528	31210949	253018
18	72259010	72265744	400657
9	3824127	4348392	169792
HG873_PATCH	14988217	14993851	796
13	21547171	21635686	26524
22	24309089	24314721	100037417
22	44965219	44968221	388910
8	10383056	10411676	203074
X	46404928	46407843	401588
20	3170996	3185331	65992
22	24313554	24322660	100037417
22	24313554	24322660	1652
15	60060543	60061347	6189
X	47064320	47065264	8552
20	60718822	60757540	26039
13	21714653	21723221	10284
4	72607410	72669758	2638
HSCHR6_MHC_MANN	31543668	31543743	692233
HSCHR6_MHC_MANN	31548377	31548454	692199
8	10463859	10569697	94137
HSCHR6_MHC_MANN	31630340	31630471	677820
X	84189157	84189896	100131816
HSCHR6_MHC_MANN	31870631	31870874	80736
GL000213.1	108007	139339	388468
GL000213.1	108007	139339	339010
22	24322339	24326106	2953
8	10530147	10558103	203076
21	30909254	31312351	2897
8	7812536	7866277	100132103
20	3189514	3204516	3704
9	128024073	128129486	26130
18	47087069	47119272	9388
13	21727734	21750741	221150
8	10581278	10697357	83595
9	4490444	4587469	6505
4	140374386	140397763	83452
22	24376133	24384680	2952
18	20378224	20606451	5932
X	47248048	47248176	100124540
15	50999506	51058005	84888
15	91474148	91475799	374659
20	56884752	56942563	57403
8	7847937	7855043	641517
HSCHR6_MHC_SSTO	31610134	31615927	55937
8	38127215	38239790	54904
15	64443914	64449680	79856
15	88120160	88122917	145978
8	86132816	86196302	377677
21	31538241	31538971	26285
13	21750784	21753223	78988
8	10622473	10697394	54984
21	31586324	31588391	9073
21	31653629	31655276	643803
8	145691426	145699585	90990
21	31661463	31661832	100131902
15	91498100	91506349	91433
4	39481875	39483525	401127
21	31691452	31692607	388818
15	64448011	64455404	5479
21	31709331	31710012	643812
21	31720717	31720924	337963
21	31743709	31744557	337959
4	140417095	140527853	80854
HSCHR6_MHC_SSTO	31616015	31618489	57827
21	31768392	31769136	140258
20	57393974	57425958	149775
21	31797583	31798286	337960
8	10753555	11058875	286046
21	31802572	31803216	284827
21	31812597	31813070	254950
4	153539784	153601317	201799
22	51021455	51022306	100144603
13	21950263	22033509	253832
21	31852018	31852663	337882
21	31859362	31859755	337969
15	41809374	41836467	26015
4	40044537	40058819	344967
X	47518232	47519776	100133957
20	56964178	57026157	9217
21	31863782	31864275	337970
21	31869142	31869451	337971
21	43099341	43117496	54090
20	60758085	60778624	26164
21	31873975	31874435	337972
X	48818639	48827976	3750
21	31913854	31914183	337973
21	43131680	43135935	150135
22	51195376	51239737	284942
22	51195376	51239737	118433
21	31933194	31933633	337974
8	146198975	146228281	286101
HSCHR6_MHC_SSTO	31618946	31624007	7918
4	153690506	153700916	201798
21	31964759	31965394	337968
9	4553386	4666674	55064
21	31970909	31971219	337967
X	86958277	86959307	653162
X	86958277	86959307	388524
4	106962756	107242652	93627
21	31973414	31973612	337979
HSCHR12_1_CTG2_1	58335324	58351052	91419
21	31985750	31986249	337966
22	24407642	24574596	23523
21	31988750	31989003	337975
20	3208063	3219836	83959
21	32007555	32007938	337976
21	32015183	32015455	337985
15	25922420	26110317	57194
8	11141925	11185646	66036
21	32119112	32119551	337978
13	22066836	22178353	221154
21	32127439	32127746	337977
21	32185016	32185570	337879
4	123300121	123350957	132612
21	32252966	32253874	337880
8	8086117	8102387	286042
X	118599997	118603061	100303728
21	32410478	32410795	728299
15	91509270	91538859	9055
HSCHR4_2_CTG9	62066976	62959961	23284
HSCHR6_MHC_MANN	33234379	33250727	3116
X	118749687	118827333	23157
4	153701089	153839615	27236
X	118921316	118921447	26779
4	147560045	147563626	5458
21	43136596	43137740	54089
15	89904810	89939471	254559
X	146990949	146993335	100126270
HSCHR6_MHC_MCF	33300827	33330643	1302
9	4662298	4665256	403313
18	47309869	47340330	10449
20	57034157	57090187	164284
21	43429303	43445060	150142
13	22245522	22278637	2254
4	140586922	140661899	4258
X	192989	220023	55344
9	4679559	4708398	55664
15	90048508	90067265	283761
22	24577227	24585078	56241
HSCHR17_6_CTG4	39382879	39383883	83899
4	16503164	16900432	9079
HSCHR17_6_CTG4	39394569	39395535	85280
15	64457716	64648442	53944
21	32490734	32932290	7074
HSCHR17_6_CTG4	39400266	39401246	81870
15	51200869	51298097	23431
13	23755091	23899304	6445
20	60790026	60795323	11255
X	47967367	47980068	280657
9	128199672	128469513	79109
X	119254863	119379122	158801
4	147627790	147867034	83894
4	158125334	158287227	2891
9	4711155	4742043	50808
4	140637907	141075338	55534
HSCHR1_3_CTG31	198503840	198521562	127124
HSCHR6_MHC_SSTO	31622960	31631270	1460
8	145698795	145701718	8928
4	144792020	144826716	2996
7	1022835	1029276	54905
4	100081671	100082802	359806
X	294698	347690	28227
15	26788693	27184686	2562
8	29531438	29605625	619351
15	51348795	51397473	388121
X	48830134	48858675	56850
18	47349183	47721463	4645
22	24615622	24641110	2687
HSCHR6_MHC_QBL	33168626	33173129	6222
4	153857504	153900848	85462
15	64657193	64679886	9768
21	33031935	33041244	6647
HSCHR1_3_CTG31	198619288	198737899	5788
7	1036622	1177896	84310
9	4792869	4885917	10171
15	91541646	91565833	26276
HSCHR6_MHC_SSTO	31626842	31631270	58496
8	145703352	145727504	84988
4	141178440	141306880	60592
X	585079	620146	6473
20	60813580	60871268	9885
GL000191.1	29663	33264	55629
3	39371197	39375171	1237
13	23902965	24007841	26278
8	146228197	146231432	286103
14	64063757	64108579	112840
7	1084212	1098897	115330
4	144917257	145061844	2994
HSCHR6_MHC_SSTO	31634408	31641761	80741
20	57226328	57254582	8675
X	148609130	148622504	100131434
14	64150932	64194757	81537
4	166198944	166201175	2713
X	1314890	1331616	64109
GL000191.1	36277	50281	10772
3	39424839	39438842	54977
4	154073494	154260472	23321
20	3229951	3388272	25943
HSCHR6_MHC_QBL	33173759	33175444	8705
3	10857885	10982419	6538
4	159045626	159094470	51313
18	20714528	20840431	91768
HSCHR6_MHC_QBL	31855958	31903846	717
3	39448180	39454033	574040
3	39448180	39454033	6044
3	39448180	39454033	3921
21	33043346	33104388	57466
8	11188397	11189717	83650
HG996_PATCH	132680924	132910380	50614
22	20383524	20427835	728233
13	24144509	24250232	55504
4	123372625	123377880	3558
8	11225911	11296167	83656
X	71549366	71792953	55869
8	29779029	29811240	286135
22	24666786	24813708	23384
9	128509624	128729656	5090
HSCHR6_MHC_QBL	33175727	33186150	9277
20	44563267	44576662	63935
8	11278972	11332224	83648
15	51500254	51630807	1588
8	86239837	86291243	759
7	1121844	1133451	2852
4	148402069	148466106	1909
9	4985033	5128183	3717
21	44866481	44873773	284836
7	36192758	36341152	80820
21	44881974	44899414	114038
HSCHR6_MHC_SSTO	31644674	31661153	7920
13	24304328	24463558	4285
HG311_PATCH	118349897	118368687	5407
4	154265801	154336270	84057
15	64679947	64747502	9325
4	123533783	123542224	59067
7	1191707	1200395	90637
8	11351510	11422113	640
21	45225639	45232448	284837
HSCHR6_MHC_QBL	32110133	32115584	5089
22	24813847	24838328	135
15	66639545	66639680	692149
15	41849873	41871536	7301
4	159122756	159176563	55314
4	141309609	141349122	1047
8	99053954	99056349	26775
HG311_PATCH	118380352	118404649	5408
8	99054314	99054445	26775
15	66793588	66793656	595100
21	33245628	33416946	30811
15	66794358	66794429	595099
15	66795581	66795652	595098
20	44577292	44600833	63925
4	123653857	123666098	166379
8	56362069	56367699	100133234
13	24465238	24476794	387911
17	7788124	7816078	1107
X	1387693	1429274	1438
17	3763609	3798185	84254
3	11034410	11080933	6529
9	5131979	5185668	11172
15	64752941	64978264	23060
HG1308_PATCH	129984656	130008571	93979
21	33640530	33651380	54069
22	24863206	24924358	51733
9	5231419	5235304	3641
4	123747863	123819391	2247
20	60877149	60883918	11047
8	11534468	11617511	2626
9	129089128	129269320	89853
15	51633826	51700210	342035
18	47753563	47792892	220136
4	17461884	17513857	5860
9	5299868	5304969	6019
X	149106846	149392815	100272228
HG1308_PATCH	130020180	130027955	1357
22	21055220	21058894	84222
21	33664124	33687095	56246
9	5334969	5339873	6013
9	115865618	115873780	100128385
7	1272543	1276954	340260
18	20777108	21017925	85019
8	56986394	56986460	26795
22	16256441	16287937	23784
HG747_PATCH	65821640	65980494	2186
9	115875353	115882208	286333
9	5357973	5437878	55848
8	145728356	145732557	2875
8	9757574	9762876	157627
HG1308_PATCH	130036375	130082274	95681
15	93111048	93115272	100144604
22	21356175	21364631	439931
22	24936406	24951903	83606
7	99214569	99230030	221785
4	148538534	148593195	55751
HSCHR6_MHC_QBL	28870783	28891770	5987
22	21357184	21368581	113691
20	57264187	57294294	79716
21	33683329	33765335	9875
HSCHR6_MHC_SSTO	31664595	31675540	259215
4	154387498	154557863	23240
13	24553944	24881212	221178
HSCHR15_1_CTG8	66187417	66558222	84465
17	32646055	32648421	6355
22	21389532	21399306	440799
9	5450503	5470566	29126
HSCHR6_MHC_QBL	33185925	33195021	10471
20	3451687	3631769	8455
14	106383838	106391825	9834
7	1468101	1499138	79778
9	129376722	129463311	4010
HSCHR6_MHC_QBL	32116164	32120921	63940
2	27498289	27504367	285126
3	155588325	155661815	8833
4	123809852	123844123	11162
HG1308_PATCH	130126046	130146133	4232
22	16448824	16449805	81061
12	57057127	57082159	10728
4	53578597	53586518	57291
8	38243725	38267045	137994
22	17071667	17073700	150160
7	139784546	139876835	80853
22	24951471	25005947	6634
9	5510545	5571282	80380
22	17264302	17302589	150165
4	53579416	53579537	677810
3	134196548	134205558	25847
X	1455509	1501578	3563
8	11627148	11644855	252969
HSCHR6_MHC_QBL	28962562	28973093	282890
15	91643180	91844539	9899
14	76776957	76968178	2103
4	109459346	109541616	285456
HSCHR6_MHC_SSTO	31673092	31675540	259215
HSCHR6_MHC_SSTO	31673092	31675540	58530
12	69864129	69973562	10818
HG311_PATCH	118423208	118429776	143379
9	129567285	129600489	23099
13	24881304	24896673	387911
13	24881304	24896673	338872
14	95648277	95786243	79789
10	27687116	27703297	374308
12	75728419	75764340	256710
15	69365266	69388160	283673
4	72897521	73013784	10886
9	117607874	117610865	8899
7	142723245	142724282	135924
22	17442826	17489112	128954
14	31091318	31205018	23256
HG311_PATCH	118430705	118502086	259217
13	24895264	24895566	542767
3	180319918	180335616	151613
7	142749417	142750444	346517
12	27932953	27955973	57542
7	142829170	142836839	5304
4	141445312	141474924	255520
9	118650448	118687486	58483
17	43331760	43339479	124783
HG747_PATCH	65987217	65989765	284018
9	129622944	129648157	403341
17	32683471	32685629	6357
21	33784314	33887707	59271
4	148558936	148605381	90826
4	54852754	54853225	402176
HSCHR6_MHC_QBL	32120241	32149468	4855
X	1505045	1511617	293
3	130732719	130746493	28990
HSCHR6_MHC_QBL	31857779	31860166	221527
15	27111510	27194354	2558
13	24995064	25086948	143
8	86285665	86361269	761
3	11178779	11305243	3269
15	92396925	92715665	28232
3	62304648	62321888	57415
4	145030457	145061904	2993
4	123844229	124240605	166378
HSCHR6_MHC_SSTO	31676330	31684446	80739
HG747_PATCH	66031635	66042958	3838
3	167967310	168548387	93556
X	48886242	48901012	7030
20	60883011	60942368	3911
7	142880512	142881528	259285
7	150019728	150035239	65999
4	17516788	17528727	645104
4	174448421	174512475	79804
6	24667263	24705293	55856
15	51739908	51915030	23312
17	46970127	46973233	516
17	60447579	60493837	146779
10	48413092	48416853	2658
7	98836417	98908753	84176
3	160394948	160396233	80117
12	49932940	49952091	23416
X	98716600	98976156	442459
15	64979772	64995480	4947
8	86376081	86393722	760
10	48425815	48438976	2662
HSCHR6_MHC_MCF	33331732	33338829	6257
6	18155560	18224084	221656
HSCHR6_MHC_COX	31118872	31124541	6941
10	27793197	27831143	22931
12	65672423	65882024	253827
3	160473390	160796695	151742
9	119943345	119943479	100124538
10	93683526	93790082	9044
12	28111017	28125638	5744
HG747_PATCH	66243690	66253272	51321
9	5629025	5776557	57589
7	150026938	150029808	113763
HSCHR6_MHC_COX	32954322	32970527	3113
2	113825547	113833427	84639
3	138663066	138665982	668
10	7200586	7453450	57713
4	17578815	17609595	51056
HSCHR6_MHC_QBL	31903824	31910258	629
12	125478246	125515777	140707
2	33050510	33151760	285045
7	150035408	150038763	5919
X	1522032	1572655	8623
22	17565844	17596583	23765
21	33948862	33959683	140290
10	119232726	119304579	196047
7	141404138	141438146	285962
17	48187404	48207246	201191
2	33152194	33153472	100271832
5	140868808	140892546	56097
5	140868808	140892546	5098
2	224839829	224904036	5270
6	49927962	49931818	245928
10	31495207	31609376	220930
10	90581889	90611575	118932
3	134204585	134293859	80254
2	95813075	95831158	84874
X	100110277	100111368	3178
4	73146686	73434516	9508
4	159236463	159574524	59350
15	65032091	65067786	348093
10	102756375	102767593	84445
5	110073837	110100857	91137
9	129677053	129985445	9649
20	44637547	44645200	4318
HSCHR6_MHC_DBB	30701238	30702593	8870
3	62355356	62359999	55079
X	49641327	49643844	158572
8	58192102	58197290	26138
17	19581601	19622292	146802
2	171571861	171574588	389058
4	141480588	141489959	7350
17	48211104	48227991	84687
2	28974506	29025806	5500
3	138666076	138672293	401089
2	33947788	33953274	151325
8	145734457	145736596	113655
6	34725183	34741571	6631
22	24979718	25024972	92086
22	24979718	25024972	91227
22	24979718	25024972	2678
5	124410358	124410673	401397
