gene_symbol	chromosome_name
CHI3L1	1
CHIT1	1
CLCN6	1
CPSF3L	1
CR1	1
CROCC	1
CSRP1	1
CTSS	1
CYP4B1	1
DCLRE1B	1
DDI2	1
DDR2	1
DDX20	1
DFFB	1
DHDDS	1
DVL1	1
DYRK3	1
EBNA1BP2	1
ECM1	1
EPS15	1
EXOSC10	1
EYA3	1
F5	1
FAM63A	1
FASLG	1
FCER1A	1
FCER1G	1
FCGR1A	1
FCGR1B	1
FCGR1C	1
FCRL5	1
FCRL6	1
FMO2	1
FMO5	1
GBP1	1
GBP4	1
GBP5	1
GIPC2	1
GJB3	1
GLUL	1
GNRHR2	1
GON4L	1
GORAB	1
GPR161	1
GUK1	1
H6PD	1
HECTD3	1
HLX	1
HPDL	1
HSPB7	1
IFI16	1
IFI44	1
IFI44L	1
IL10	1
IL6R	1
IRF2BP2	1
ITGA10	1
KCNA3	1
KCNAB2	1
KHDRBS1	1
KIAA0040	1
KIAA1107	1
KIF14	1
KLHDC9	1
KMO	1
LAPTM5	1
LAX1	1
LBR	1
LCK	1
LDLRAD2	1
LEFTY2	1
LIN9	1
LMO4	1
LRP8	1
LY9	1
MAN1A2	1
MAN1C1	1
MAP7D1	1
MCOLN2	1
MDM4	1
MIA3	1
MIB2	1
MMP23B	1
MNDA	1
MPZ	1
MRPL24	1
MRPL55	1
MRPL9	1
MRPS14	1
MTF2	1
MYOM3	1
MYSM1	1
NASP	1
NCF2	1
NECAP2	1
NES	1
NFYC	1
NLRP3	1
NME7	1
NOC2L	1
NPL	1
NR5A2	1
NUDC	1
PDZK1	1
PEA15	1
PEAR1	1
PFKFB2	1
PGD	1
PHLDA3	1
PIK3CD	1
PKP1	1
PLA2G4A	1
PLEKHO1	1
PMVK	1
POMGNT1	1
PPP1R12B	1
PPP1R15B	1
PSMB2	1
PSMD4	1
PSRC1	1
PTCH2	1
PTPN22	1
PTPN7	1
PYHIN1	1
QSOX1	1
RAB3GAP2	1
RAB42	1
RASSF5	1
RCSD1	1
RGL1	1
RGS18	1
RGS4	1
RHOC	1
RNF2	1
RPA2	1
RPL11	1
RPL5	1
RPS8	1
RSC1A1	1
RSPO1	1
S100A3	1
S100A8	1
SAMD11	1
SAMD13	1
SASS6	1
SDF4	1
SELE	1
SELP	1
SERBP1	1
SF3B4	1
SFN	1
SH2D2A	1
SH3BGRL3	1
SLAMF7	1
SLAMF8	1
SLC19A2	1
SNAP47	1
SNHG3	1
SPATA17	1
STK40	1
SUMO1P3	1
TADA1	1
TAL1	1
TMEM201	1
TMEM51	1
TNFAIP8L2	1
TNFRSF25	1
TNFRSF8	1
TRAF3IP3	1
TRAF5	1
TRIM33	1
TRIM62	1
TROVE2	1
TTC39A	1
TTF2	1
UBXN10	1
UBXN11	1
UHMK1	1
UQCRHL	1
VCAM1	1
VPS72	1
VTCN1	1
WASF2	1
WASH7P	1
WDR77	1
WLS	1
XCL1	1
XCL2	1
YY1AP1	1
ZBTB17	1
ZBTB48	1
ZDHHC18	1
ZMYM6	1
ZNF281	1
ZNF683	1
ACTG2	2
ACTR2	2
AFF3	2
APLF	2
APOB	2
ARHGAP15	2
ARHGAP25	2
ASXL2	2
ATG9A	2
ATP6V1C2	2
BIN1	2
BIRC6	2
BOLA3	2
BUB1	2
C2orf40	2
CACNB4	2
CAPN10	2
CCDC74B	2
CCNT2	2
CCNYL1	2
CCT4	2
CD28	2
CD8A	2
CD8B	2
CENPO	2
CFLAR	2
CHAC2	2
CKAP2L	2
CLEC4F	2
CLIP4	2
CLK1	2
COBLL1	2
COL4A3	2
COL4A4	2
CPS1	2
CTDSP1	2
CTLA4	2
CYP26B1	2
CYTIP	2
D2HGDH	2
DDX1	2
DHRS9	2
DNER	2
DUSP2	2
EHBP1	2
EIF2AK3	2
ELMOD3	2
EML4	2
EPC2	2
ERBB4	2
ETAA1	2
EXOC6B	2
FAM136A	2
FAM178B	2
FMNL2	2
GIGYF2	2
GMPPA	2
GPAT2	2
GULP1	2
HK2	2
HNMT	2
HOXD10	2
HOXD3	2
HOXD9	2
HS6ST1	2
HSPD1	2
ICOS	2
IFIH1	2
IL18R1	2
IL1R2	2
IL1RL1	2
INO80D	2
INPP5D	2
ITGA4	2
ITM2C	2
ITPRIPL1	2
KYNU	2
LCLAT1	2
LPIN1	2
LRRFIP1	2
LTBP1	2
LYPD1	2
MALL	2
MAPRE3	2
MARCO	2
MAT2A	2
MCM6	2
MEMO1	2
MGAT4A	2
MOGS	2
MRPL53	2
MRPS5	2
MTHFD2	2
NCK2	2
NCL	2
NLRC4	2
NMI	2
NOSTRIN	2
NR4A2	2
OBSL1	2
ODC1	2
OSR1	2
OXER1	2
PAX8	2
PDCD1	2
PDK1	2
PELI1	2
PGAP1	2
PLEK	2
POLR1B	2
POLR2D	2
PQLC3	2
PRPF40A	2
PSMD14	2
R3HDM1	2
RBMS1	2
RGPD3	2
RIF1	2
RNASEH1	2
RNF181	2
RNPEPL1	2
RPL31	2
RPS27A	2
RPS7	2
RRM2	2
SATB2	2
SCN3A	2
SDPR	2
SF3B1	2
SGOL2	2
SLC11A1	2
SLC25A12	2
SLC9A2	2
SMYD1	2
SP140	2
SP3	2
SPTBN1	2
STAT1	2
STAT4	2
STK11IP	2
STK39	2
STON1	2
SUCLG1	2
SULT1C3	2
SULT1C4	2
SUMO1	2
TACR1	2
TFPI	2
TLK1	2
TMSB10	2
TRIP12	2
TTC30A	2
TTC30B	2
UBE2E3	2
UBR3	2
VIT	2
WDR43	2
WNT10A	2
YWHAQ	2
ZAP70	2
ZNF638	2
ABHD5	3
ACOX2	3
ADCY5	3
ADPRH	3
ALG3	3
APOD	3
B3GALNT1	3
BRPF1	3
BTLA	3
C3orf18	3
CACNA2D2	3
CADM2	3
CCDC50	3
CCDC58	3
CCR1	3
CCR2	3
CCR4	3
CCR5	3
CCRL2	3
CD200R1	3
CD86	3
CD96	3
CHRD	3
CHST2	3
CLDN1	3
CLDN11	3
CLSTN2	3
CNBP	3
CNOT10	3
CNTN3	3
COMMD2	3
CSPG5	3
CSRNP1	3
CSTA	3
DHX30	3
DNASE1L3	3
DTX3L	3
EHHADH	3
EOMES	3
EPM2AIP1	3
FAIM	3
FAM107A	3
FAM131A	3
FRMD4B	3
FYCO1	3
GATA2	3
GLT8D1	3
GLYCTK	3
GPR160	3
GPR171	3
GPR87	3
GTPBP8	3
HCLS1	3
HEMK1	3
HGD	3
HLTF	3
HRASLS	3
IFT57	3
IGSF10	3
IL17RD	3
IL1RAP	3
IMPDH2	3
IRAK2	3
ITGA9	3
KBTBD8	3
KIAA1524	3
KLHDC8B	3
KLHL6	3
KY	3
LAMP3	3
LRRC2	3
LRRN1	3
LSG1	3
LZTFL1	3
MBNL1	3
MRPS25	3
MUC20	3
MYD88	3
MYLK	3
MYRIP	3
NEK10	3
NEK11	3
NKTR	3
NMD3	3
NT5DC2	3
P2RY13	3
P4HTM	3
PA2G4P4	3
PAK2	3
PARP14	3
PARP9	3
PCYT1A	3
PDIA5	3
PFKFB4	3
PHC3	3
PIGZ	3
PIK3CA	3
PLA1A	3
PLCXD2	3
PLD1	3
PLSCR1	3
POC1A	3
POLR2H	3
PPM1M	3
PPP1R2	3
PRKCD	3
PROS1	3
PSMD2	3
QARS	3
RAP2B	3
RARRES1	3
RASA2	3
RBM5	3
RBM6	3
RFC4	3
RPL14	3
RPL29	3
RPSA	3
RRP9	3
RUVBL1	3
SEC62	3
SEMA3B	3
SEMA3G	3
SHQ1	3
SIAH2	3
SLC6A1	3
SMC4	3
SNRK	3
ST3GAL6	3
STAB1	3
STAC	3
SYN2	3
TFG	3
TIGIT	3
TKT	3
TLR9	3
TM4SF18	3
TMEM108	3
TMEM43	3
TMEM45A	3
TMF1	3
TOPBP1	3
TPRG1	3
TRA2B	3
TRAT1	3
TTC14	3
UBP1	3
ULK4	3
VILL	3
WDR5B	3
WNT5A	3
XRN1	3
ZNF148	3
ZNF502	3
ABCG2	4
ABLIM2	4
ADH1C	4
ANKRD17	4
ANXA2P1	4
APBB2	4
CASP3	4
CCDC96	4
CCNG2	4
CD38	4
CISD2	4
CLOCK	4
CNGA1	4
CNOT6L	4
COL25A1	4
CTBP1	4
CXCL1	4
CXCL13	4
CXCL2	4
CXCL6	4
CYTL1	4
DCLK2	4
DGKQ	4
DNAJB14	4
EEF1A1P9	4
ENPP6	4
EREG	4
FAT1	4
FBXL5	4
FGF2	4
FGFRL1	4
GAK	4
GLRA3	4
HADH	4
HERC6	4
HPGDS	4
HPSE	4
IL15	4
KIAA1109	4
LGI2	4
LIMCH1	4
LRP2BP	4
LRPAP1	4
MAML3	4
MMRN1	4
MRFAP1	4
N4BP2	4
NAA15	4
NAT8L	4
NPNT	4
NPY2R	4
NPY5R	4
NR3C2	4
PABPC4L	4
PDS5A	4
PGM2	4
PI4K2B	4
PLAC8	4
PROL1	4
QDPR	4
RASGEF1B	4
RASL11B	4
RGS12	4
RNF175	4
RNF4	4
SEL1L3	4
SH3RF1	4
SH3TC1	4
SLC4A4	4
SLC7A11	4
SMARCAD1	4
SNX25	4
SPATA18	4
STK32B	4
STX18	4
TAPT1	4
TBC1D9	4
TET2	4
THAP9	4
TLR1	4
TLR10	4
TLR2	4
TLR6	4
TMEM144	4
TMEM156	4
TNIP2	4
TRAM1L1	4
TXK	4
UCHL1	4
UGT2B28	4
WDR19	4
WHSC1	4
ZNF141	4
AFF4	5
AGGF1	5
ALDH7A1	5
ANKRA2	5
APBB3	5
APC	5
ARAP3	5
ATG12	5
ATP6AP1L	5
BRIX1	5
C5orf28	5
C5orf42	5
C5orf46	5
C5orf56	5
CAMLG	5
CARTPT	5
CAST	5
CCDC152	5
CCNB1	5
CCNH	5
CCNJL	5
CCNO	5
CCT5	5
CD180	5
CENPK	5
CLTB	5
CMBL	5
CNOT6	5
CNOT8	5
COL4A3BP	5
COX7C	5
CSF1R	5
CXXC5	5
DCTN4	5
DHFR	5
DMXL1	5
DOCK2	5
DOK3	5
DUSP1	5
EGR1	5
EMB	5
F2RL2	5
FAM13B	5
FAM151B	5
FAM173B	5
FAM174A	5
FAM193B	5
FBXO38	5
FCHSD1	5
FNIP1	5
FYB	5
GAPT	5
GCNT4	5
GFRA3	5
GLRX	5
GNB2L1	5
GPBP1	5
GRIA1	5
GUSBP3	5
GZMA	5
HAVCR2	5
HDAC3	5
HIGD2A	5
HK3	5
HMMR	5
HNRNPAB	5
HSD17B4	5
IK	5
IL6ST	5
IL7R	5
IQGAP2	5
IRF1	5
ITK	5
KCNMB1	5
KIAA0141	5
LCP2	5
LIFR	5
LMBRD2	5
LMNB1	5
LRRC70	5
LTC4S	5
MATR3	5
MBLAC2	5
MCCC2	5
MGAT1	5
MRPS27	5
MRPS36	5
MSX2	5
MXD3	5
MYOZ3	5
NDST1	5
NDUFS6	5
NHP2	5
NR3C1	5
NSD1	5
NUDT12	5
NUP155	5
OSMR	5
PANK3	5
PCBD2	5
PCDHB14	5
PCDHB16	5
PCDHGA12	5
PCDHGA5	5
PCDHGA6	5
PCDHGB4	5
PCYOX1L	5
PDE8B	5
PDZD2	5
PGGT1B	5
PIK3R1	5
PLCXD3	5
PLK2	5
PPARGC1B	5
PPIP5K2	5
PPP1R2P3	5
PPP2R2B	5
PRR16	5
RAD17	5
RAPGEF6	5
RELL2	5
RGS7BP	5
RNF180	5
RPL37	5
RPS14	5
SAP30L	5
SDHA	5
SEPP1	5
SH3TC2	5
SKP1	5
SLC22A5	5
SMAD5	5
SRD5A1	5
ST8SIA4	5
STC2	5
STK10	5
TAF9	5
TCF7	5
TCOF1	5
TIGD6	5
TMED7	5
TNIP1	5
TRIM23	5
TSLP	5
TTC1	5
UQCRQ	5
ZCCHC10	5
ZNF131	5
ZNF354C	5
AARS2	6
ABCC10	6
AIF1	6
AMD1	6
ATF6B	6
ATP6V1G2	6
BACH2	6
BCLAF1	6
BPHL	6
C2	6
C4A	6
C6orf141	6
C6orf47	6
CAPN11	6
CCHCR1	6
CD2AP	6
CD83	6
COQ3	6
COX7A2	6
CTAGE9	6
CYP39A1	6
DHX16	6
DLL1	6
E2F3	6
EEF1A1	6
EEF1E1	6
ELOVL5	6
ESR1	6
ETV7	6
FABP7	6
FAM184A	6
FAM26F	6
FAM65B	6
FANCE	6
FGD2	6
FOXC1	6
FOXO3	6
GFOD1	6
GMNN	6
GNL1	6
GOPC	6
GPLD1	6
GSTA1	6
GTPBP2	6
HCP5	6
HDAC2	6
HECA	6
HIST1H2AE	6
HLA-A	6
HLA-C	6
HLA-DOA	6
HLA-DOB	6
HLA-DPA1	6
HLA-DQA2	6
HLA-DQB1	6
HLA-DRA	6
HLA-DRB1	6
HLA-DRB5	6
HLA-DRB6	6
HLA-E	6
HLA-F	6
HLA-H	6
HMGA1	6
HMGN4	6
HSP90AB1	6
ID4	6
IPCEF1	6
IRAK1BP1	6
IRF4	6
KCTD20	6
LATS1	6
LEMD2	6
LST1	6
LTB	6
LY6G5C	6
MAP3K7	6
MDN1	6
ME1	6
MOXD1	6
MRPL2	6
MYB	6
NCOA7	6
NFKBIE	6
NQO2	6
NUP43	6
PARK2	6
PHIP	6
PIM1	6
PLAGL1	6
PLEKHG1	6
PPP1R14C	6
PRR3	6
PSMB8	6
PSMB9	6
RIOK1	6
RPF2	6
RPL10A	6
RPS10	6
RPS12	6
RPS6KA2	6
SAMD3	6
SCML4	6
SENP6	6
SERPINB9	6
SGK1	6
SHPRH	6
SIM1	6
SLC29A1	6
SLC2A12	6
SRF	6
STX7	6
TAGAP	6
TAP1	6
TAP2	6
TBC1D7	6
TCF19	6
TFAP2B	6
THEMIS	6
TNFAIP3	6
TNXB	6
TPMT	6
TRDN	6
TREM1	6
TUBB2B	6
ULBP3	6
VNN1	6
VNN2	6
VTA1	6
ZBTB22	6
ZFAND3	6
ZNF184	6
AASS	7
ABCB1	7
ABCB4	7
ABCB5	7
ACHE	7
ADCY1	7
AGR3	7
AOAH	7
AQP1	7
ATP6V0A4	7
ATP6V1F	7
AZGP1	7
BRAF	7
BZW2	7
C7orf31	7
C7orf50	7
CCT6P1	7
CDK13	7
CLDN15	7
CPVL	7
CROT	7
DBF4	7
DLD	7
FAM133B	7
FGL2	7
FIGNL1	7
FIS1	7
FOXP2	7
FTSJ2	7
GIGYF1	7
HOXA3	7
HOXA4	7
HOXA5	7
HOXA7	7
IFRD1	7
IKZF1	7
IL6	7
INTS1	7
KIAA1147	7
KRBA1	7
LEP	7
LMTK2	7
LRCH4	7
MEST	7
MET	7
MKLN1	7
MYO1G	7
NCAPG2	7
NCF1	7
NCF1B	7
NCF1C	7
NDUFA4	7
NDUFB2	7
NFE2L3	7
NSUN5	7
NUB1	7
NUP205	7
NUPL2	7
PARP12	7
PHTF2	7
PIK3CG	7
PILRA	7
PLXNA4	7
PODXL	7
POM121C	7
POP7	7
POR	7
PRKRIP1	7
PRRT4	7
PTCD1	7
PTN	7
PTPN12	7
PTPRN2	7
PUS7	7
RBAK	7
RELN	7
RPA3	7
RSBN1L	7
SAMD9L	7
SERPINE1	7
SLC12A9	7
SLC29A4	7
SNX10	7
SOSTDC1	7
SRRM3	7
SRRT	7
TAC1	7
TBRG4	7
TES	7
TFEC	7
TMEM176A	7
TMEM176B	7
TMEM213	7
TNRC18	7
TRIP6	7
TTC26	7
TWISTNB	7
UPP1	7
WBSCR16	7
WDR60	7
WDR91	7
XRCC2	7
ZKSCAN1	7
ZNF12	7
ZNF282	7
ZNF655	7
ZNF92	7
ADAMDEC1	8
ADCK5	8
ADHFE1	8
ANKRD46	8
ARFGEF1	8
ASPH	8
BAG4	8
BLK	8
C8orf33	8
C8orf76	8
CCNE2	8
CHMP7	8
CHRAC1	8
CNOT7	8
CSMD1	8
CTSB	8
CYHR1	8
DCAF13	8
DOK2	8
EEF1D	8
EIF3E	8
EPHX2	8
ESCO2	8
EXOSC4	8
FAM91A1	8
GEM	8
GPT	8
GSDMC	8
HEY1	8
HSF1	8
IDO1	8
IL7	8
IMPAD1	8
KIF13B	8
KIFC2	8
LAPTM4B	8
MRPL13	8
MSC	8
MSR1	8
MTBP	8
MTDH	8
MTMR9	8
MTUS1	8
MYBL1	8
NAT1	8
NCOA2	8
OPLAH	8
PABPC1	8
PAG1	8
PCMTD1	8
PHF20L1	8
PIWIL2	8
PPP1R16A	8
PPP1R3B	8
PTK2	8
PUF60	8
PYCRL	8
R3HCC1	8
RAD21	8
RBM12B	8
RPL30	8
RPL7	8
RPL8	8
SCARA5	8
SCRIB	8
SHARPIN	8
SLA	8
SLC20A2	8
SLC25A37	8
SLCO5A1	8
SNHG6	8
TAF2	8
TATDN1	8
TCEB1	8
TIGD5	8
TOP1MT	8
TRMT12	8
TUSC3	8
UTP23	8
VPS37A	8
WHSC1L1	8
WWP1	8
YWHAZ	8
ZNF16	8
ZNF251	8
ZNF395	8
ZNF696	8
ADAMTS13	9
ADAMTSL2	9
AGPAT2	9
AKNA	9
ALDH1A1	9
ANAPC2	9
ANXA2P2	9
ATP6V1G1	9
C9orf114	9
C9orf116	9
C9orf129	9
C9orf69	9
CARD9	9
CCDC107	9
CCL19	9
CCL21	9
CD274	9
CD72	9
COQ4	9
CRB2	9
DAPK1	9
DIRAS2	9
DNAJB5	9
DOCK8	9
EDF1	9
EPB41L4B	9
EXD3	9
FBP1	9
FBXW5	9
FREM1	9
FRMD3	9
GLIPR2	9
GNAQ	9
GOLGA1	9
GPSM1	9
GTF3C4	9
GTF3C5	9
HINT2	9
HRCT1	9
IL11RA	9
IPPK	9
KANK1	9
KIF27	9
KLF9	9
KLHL9	9
MAN1B1	9
MAPKAP1	9
MSMP	9
NCS1	9
NDOR1	9
NDUFA8	9
NTRK2	9
NXNL2	9
ODF2	9
PALM2	9
PDCD1LG2	9
PHF19	9
PHPT1	9
POLE3	9
POLR1E	9
PPP2R4	9
PTAR1	9
PTCH1	9
PTGS1	9
RAD23B	9
RAPGEF1	9
RGP1	9
RPL12	9
RPL35	9
RPL7A	9
RPS6	9
RXRA	9
S1PR3	9
SEMA4D	9
SET	9
SH2D3C	9
SIT1	9
SLC2A6	9
SMC2	9
SNAPC4	9
SSNA1	9
SUSD3	9
TAF1L	9
TJP2	9
TLE1	9
TLE4	9
TNFSF8	9
TPRN	9
TRAF1	9
TRAF2	9
TRIM14	9
UBE2R2	9
VPS13A	9
XPA	9
ZBTB26	9
ZNF658	9
ABI1	10
ACADSB	10
ACSL5	10
AGAP11	10
ALOX5	10
ANKRD30A	10
ARHGAP21	10
ARHGAP22	10
ARL3	10
AS3MT	10
ATP5C1	10
BLNK	10
BMS1P4	10
BTAF1	10
C10orf10	10
C10orf107	10
C10orf12	10
C10orf76	10
CAMK1D	10
CASC2	10
CCNJ	10
CDH23	10
CDHR1	10
CHST3	10
CNNM1	10
CRTAC1	10
CUEDC2	10
DCLRE1C	10
DIP2C	10
DNA2	10
DNMBP	10
ECD	10
ECHDC3	10
EGR2	10
ELOVL3	10
FAM160B1	10
FAM171A1	10
FAM196A	10
FAM35A	10
FAS	10
FBXL15	10
FRAT1	10
FRMD4A	10
GFRA1	10
GLUD1	10
GOT1	10
GPAM	10
GTPBP4	10
HNRNPA3P1	10
HSPA12A	10
HSPA14	10
HTR7	10
IDI2	10
IFIT1	10
IFIT2	10
IFIT3	10
IKZF5	10
IL2RA	10
KIF20B	10
LIPA	10
MAP3K8	10
MASTL	10
MKI67	10
MRC1	10
NFKB2	10
NHLRC2	10
NOC3L	10
PAPSS2	10
PFKFB3	10
PIK3AP1	10
PNLIPRP3	10
PPP1R3C	10
PRDX3	10
PRF1	10
PRKCQ	10
PTEN	10
RASSF4	10
SAMD8	10
SEPHS1	10
SFXN2	10
SLC16A12	10
SLC18A2	10
SLC25A16	10
SMC3	10
SPOCK2	10
ST8SIA6	10
STAMBPL1	10
SUV39H2	10
SYCE1	10
SYT15	10
TAF5	10
TCF7L2	10
TCTN3	10
TMEM26	10
ZNF25	10
ZNF485	10
ZNF503	10
ZWINT	10
ABCC8	11
AHNAK	11
AMOTL1	11
AMPD3	11
ANO3	11
API5	11
ATG2A	11
ATM	11
ATP5L	11
B3GAT3	11
BATF2	11
C11orf49	11
CADM1	11
CARD16	11
CASP1	11
CCDC82	11
CCDC88B	11
CD3D	11
CD3E	11
CD3G	11
CEP164	11
CEP57	11
CHORDC1	11
CRTAM	11
CRYAB	11
CSTF3	11
CTNND1	11
CTSW	11
CXCR5	11
DEAF1	11
DGAT2	11
DIXDC1	11
DYNC2H1	11
E2F8	11
EEF1G	11
FAM111A	11
FAM111B	11
FAM76B	11
FANCF	11
FAU	11
FDX1	11
FEN1	11
FERMT3	11
FKBP2	11
FOLR2	11
FTH1	11
GDPD5	11
GUCY1A2	11
HBB	11
HIPK3	11
HRAS	11
HRASLS2	11
IFITM2	11
IFITM3	11
IL10RA	11
JRKL	11
KCNE3	11
KCNJ11	11
LPXN	11
LSP1	11
LYVE1	11
MOB2	11
MPPED2	11
MPZL2	11
MS4A1	11
MS4A14	11
MS4A2	11
MS4A4A	11
MS4A6A	11
MS4A7	11
MUS81	11
NDUFS8	11
NRXN2	11
OAF	11
PACSIN3	11
PAK1	11
PAMR1	11
PC	11
PCNXL3	11
PCSK7	11
PGR	11
PICALM	11
PIH1D2	11
PIK3C2A	11
PITPNM1	11
POU2AF1	11
PPP1CA	11
PPP2R1B	11
PRMT3	11
PSMC3	11
QSER1	11
RAB30	11
RARRES3	11
RASGRP2	11
RIN1	11
RNH1	11
RPL27A	11
RPLP2	11
RPS13	11
RPS25	11
RPS3	11
RPS6KA4	11
RRAS2	11
RSF1	11
SAA1	11
SAAL1	11
SART1	11
SBF2	11
SCGB1D2	11
SCGB2A2	11
SCN3B	11
SCUBE2	11
SIDT2	11
SIK2	11
SLC35F2	11
SLC43A3	11
SLCO2B1	11
SNHG1	11
SNX15	11
SPI1	11
SPTY2D1	11
STARD10	11
SVIP	11
TAF6L	11
TALDO1	11
TBC1D10C	11
THRSP	11
TM7SF2	11
TMEM126B	11
TMEM135	11
TRIM3	11
TRPC6	11
TUT1	11
UBXN1	11
UEVLD	11
USP28	11
ZBTB44	11
ZNF214	11
A2ML1	12
ABCD2	12
ACSS3	12
ADCY6	12
AGAP2	12
ALG10B	12
ALKBH2	12
APOLD1	12
ARL6IP4	12
ARNTL2	12
ATP2B1	12
BCL2L14	12
BHLHE41	12
BLOC1S1	12
BRI3BP	12
C12orf76	12
C1RL	12
C3AR1	12
CAND1	12
CCT2	12
CD163	12
CD27	12
CD4	12
CD69	12
CKAP4	12
CLEC12A	12
CLEC2D	12
CLEC4A	12
CLEC4E	12
CLEC7A	12
CMKLR1	12
CPNE8	12
CREBL2	12
CS	12
CTDSP2	12
DAZAP2	12
DDX11	12
DDX54	12
DDX55	12
E2F7	12
EP400	12
ERP29	12
ESPL1	12
ETNK1	12
FAM66C	12
FBXO21	12
FZD10	12
GLI1	12
GLIPR1	12
GNS	12
GPR84	12
GPRC5A	12
HNRNPA1	12
HOTAIR	12
HOXC10	12
HOXC11	12
HOXC13	12
HVCN1	12
IFFO1	12
IGF1	12
IQSEC3	12
IRAK3	12
ITGB7	12
KCNA1	12
KDM5A	12
KIF21A	12
KLRD1	12
KLRG1	12
KLRK1	12
KNTC1	12
KRT5	12
KRT6B	12
KRT6C	12
KRT86	12
LACRT	12
LAG3	12
LIN7A	12
LRRK2	12
LYZ	12
MAP1LC3B2	12
MAPKAPK5	12
MMAB	12
MON2	12
MYL6	12
NAA25	12
NACA	12
NCKAP1L	12
NR4A1	12
NRIP2	12
NTN4	12
NUDT4	12
OGFOD2	12
OLR1	12
P2RX4	12
PA2G4	12
PFDN5	12
PHLDA1	12
PLEKHG6	12
PRIM1	12
PRPF40B	12
PTPN11	12
PTPRO	12
PUS1	12
RACGAP1	12
RAN	12
RASSF9	12
RECQL	12
RERG	12
RERGL	12
RILPL2	12
RNF10	12
RNF41	12
RPAP3	12
RPL41	12
RPL6	12
RPLP0	12
SBNO1	12
SCYL2	12
SH2B3	12
SLC2A14	12
SLC4A8	12
SMAGP	12
SMARCC2	12
SOX5	12
STAT2	12
STAT6	12
SUOX	12
TBX3	12
TCTN1	12
TCTN2	12
TESC	12
TMBIM4	12
TMEM5	12
TMPO	12
TMTC1	12
TNFRSF1A	12
TPI1	12
TRAFD1	12
TSPAN8	12
TSPAN9	12
TUBA1B	12
WNK1	12
ZC3H10	12
ZNF605	12
AKAP11	13
ARGLU1	13
BRCA2	13
CCNA1	13
CRYL1	13
CYSLTR2	13
DACH1	13
DCLK1	13
EFNB2	13
F10	13
GPR12	13
GPR18	13
GPR183	13
GTF2F2	13
ITM2B	13
KATNAL1	13
KL	13
LCP1	13
LRCH1	13
MYCBP2	13
NUFIP1	13
OLFM4	13
PAN3	13
PDS5B	13
PIBF1	13
SERP2	13
SETDB2	13
SKA3	13
SLAIN1	13
SLITRK6	13
TNFSF13B	13
WASF3	13
XPO4	13
ZDHHC20	13
ACIN1	14
